# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Thu Jul 23 16:54:21 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: VISTA <i>ZYJHK</i><sub>s</sub> (Vegamag)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Zmag    Ymag    Jmag    Hmag    Ksmag
0.0015467 -1.00000 9.30103 0.8999999762 2.4492786016    0.899  0.047  3.8082  4.529    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -8.02e-14      0.00 7.765e-01 2.220e-01 2.606e-04 7.132e-05 6.488e-04 -1.000 1.497e-03 4.652 4.100 4.019 3.788 3.536 3.518
0.0015467 -1.00000 9.30103 0.9219517112 2.4549738485    0.921  0.102  3.8142  4.509    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -9.21e-14      0.00 7.766e-01 2.219e-01 2.612e-04 7.147e-05 6.503e-04 -1.000 1.466e-03 4.515 3.983 3.906 3.682 3.440 3.425
0.0015467 -1.00000 9.30103 0.9499999881 2.4618121868    0.949  0.172  3.8217  4.483    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-13      0.00 7.765e-01 2.221e-01 2.620e-04 7.171e-05 6.526e-04 -1.000 1.466e-03 4.341 3.834 3.762 3.547 3.320 3.306
0.0015467 -1.00000 9.30103 0.9635040760 2.4649417501    0.963  0.204  3.8254  4.471    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-13      0.00 7.766e-01 2.219e-01 2.619e-04 7.168e-05 6.523e-04 -1.000 1.483e-03 4.259 3.764 3.694 3.484 3.264 3.251
0.0015467 -1.00000 9.30103 0.9883757234 2.4704491983    0.988  0.265  3.8322  4.449    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.38e-13      0.00 7.766e-01 2.219e-01 2.618e-04 7.165e-05 6.520e-04 -1.000 1.489e-03 4.108 3.636 3.570 3.368 3.162 3.150
0.0015467 -1.00000 9.30103 1.0000000000 2.4729154477    1.000  0.293  3.8353  4.439    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.48e-13      0.00 7.766e-01 2.219e-01 2.618e-04 7.165e-05 6.520e-04 -1.000 1.467e-03 4.039 3.577 3.512 3.315 3.115 3.103
0.0015467 -1.00000 9.30103 1.0222454071 2.4774557805    1.022  0.345  3.8419  4.422    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.64e-13      0.00 7.765e-01 2.220e-01 2.619e-04 7.168e-05 6.523e-04 -1.000 1.527e-03 3.907 3.467 3.406 3.218 3.030 3.019
0.0015467 -1.00000 9.30103 1.0427243710 2.4814392291    1.042  0.393  3.8479  4.406    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-13      0.00 7.763e-01 2.222e-01 2.621e-04 7.174e-05 6.528e-04 -1.000 1.507e-03 3.787 3.367 3.309 3.128 2.953 2.943
0.0015467 -1.00000 9.30103 1.0499999523 2.4828114860    1.049  0.410  3.8500  4.400    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.84e-13      0.00 7.762e-01 2.223e-01 2.622e-04 7.177e-05 6.531e-04 -1.000 1.506e-03 3.744 3.331 3.274 3.097 2.925 2.915
0.0015467 -1.00000 9.30103 1.0500136614 2.4828140510    1.049  0.410  3.8500  4.400    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.84e-13      0.00 7.762e-01 2.223e-01 2.622e-04 7.177e-05 6.531e-04 -1.000 1.506e-03 3.744 3.331 3.274 3.097 2.925 2.915
0.0015467 -1.00000 9.30103 1.0672088861 2.4859718162    1.066  0.450  3.8556  4.390    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.97e-13      0.00 7.766e-01 2.220e-01 2.619e-04 7.168e-05 6.523e-04 -1.000 1.468e-03 3.646 3.252 3.197 3.028 2.868 2.858
0.0015467 -1.00000 9.30103 1.0834835768 2.4888546049    1.082  0.487  3.8609  4.381    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1  -2.1e-13      0.00 7.768e-01 2.217e-01 2.616e-04 7.161e-05 6.517e-04 -1.000 1.466e-03 3.553 3.178 3.125 2.964 2.813 2.804
0.0015467 -1.00000 9.30103 1.1000000238 2.4916801480    1.099  0.524  3.8663  4.372    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.23e-13      0.00 7.769e-01 2.216e-01 2.615e-04 7.156e-05 6.512e-04 -1.000 1.466e-03 3.459 3.103 3.052 2.899 2.759 2.750
0.0015467 -1.00000 9.30103 1.1174521446 2.4945616316    1.116  0.563  3.8728  4.366    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.36e-13      0.00 7.772e-01 2.213e-01 2.613e-04 7.152e-05 6.509e-04 -1.000 1.489e-03 3.363 3.030 2.981 2.838 2.710 2.701
0.0015467 -1.00000 9.30103 1.1499999762 2.4996678137    1.149  0.635  3.8846  4.354    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.64e-13      0.00 7.777e-01 2.208e-01 2.611e-04 7.149e-05 6.506e-04 -1.000 1.523e-03 3.183 2.893 2.847 2.723 2.617 2.609
0.0015467 -1.00000 9.30103 1.1781452894 2.5038227267    1.177  0.696  3.8944  4.342    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.88e-13      0.00 7.781e-01 2.204e-01 2.608e-04 7.139e-05 6.498e-04 -1.000 1.491e-03 3.030 2.778 2.734 2.626 2.537 2.529
0.0015467 -1.00000 9.30103 1.2000000477 2.5068948796    1.199  0.743  3.9015  4.332    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.09e-13      0.00 7.783e-01 2.202e-01 2.606e-04 7.131e-05 6.492e-04 -1.000 1.492e-03 2.912 2.689 2.646 2.550 2.473 2.465
0.0015467 -1.00000 9.30103 1.2135137320 2.5087309749    1.213  0.772  3.9056  4.324    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.22e-13      0.00 7.785e-01 2.200e-01 2.605e-04 7.128e-05 6.489e-04 -1.000 1.492e-03 2.840 2.634 2.592 2.502 2.431 2.423
0.0015467 -1.00000 9.30103 1.2500000000 2.5134610955    1.249  0.850  3.9152  4.297    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.63e-13      0.00 7.788e-01 2.197e-01 2.602e-04 7.121e-05 6.483e-04 -1.000 1.466e-03 2.644 2.479 2.440 2.365 2.308 2.300
0.0015467 -1.00000 9.30103 1.2532746792 2.5138701667    1.253  0.857  3.9161  4.295    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.66e-13      0.00 7.787e-01 2.198e-01 2.601e-04 7.124e-05 6.479e-04 -1.000 1.468e-03 2.627 2.466 2.426 2.353 2.297 2.289
0.0015467 -1.00000 9.30103 1.2880614996 2.5180684673    1.287  0.931  3.9239  4.264    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.09e-13      0.00 7.778e-01 2.207e-01 2.601e-04 7.154e-05 6.439e-04 -1.000 1.507e-03 2.442 2.317 2.279 2.218 2.172 2.164
0.0015467 -1.00000 9.30103 1.2999999523 2.5194498592    1.299  0.957  3.9260  4.251    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -4.26e-13      0.00 7.776e-01 2.209e-01 2.601e-04 7.162e-05 6.426e-04 -1.000 1.481e-03 2.378 2.263 2.225 2.167 2.124 2.116
0.0015467 -1.00000 9.30103 1.3033816814 2.5198358718    1.303  0.964  3.9262  4.246    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -4.32e-13      0.00 7.777e-01 2.208e-01 2.600e-04 7.158e-05 6.429e-04 -1.000 1.473e-03 2.360 2.245 2.208 2.150 2.108 2.099
0.0015467 -1.00000 9.30103 1.3237578869 2.5221138200    1.323  1.010  3.9262  4.207    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.71e-13      0.00 7.785e-01 2.201e-01 2.598e-04 7.136e-05 6.446e-04 -1.000 1.469e-03 2.246 2.131 2.094 2.037 1.995 1.986
0.0015467 -1.00000 9.30103 1.3449699879 2.5244010890    1.345  1.057  3.9242  4.158    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -5.21e-13      0.00 7.791e-01 2.194e-01 2.597e-04 7.116e-05 6.465e-04 -1.000 1.467e-03 2.127 2.002 1.964 1.906 1.862 1.853
0.0015467 -1.00000 9.30103 1.3500000238 2.5249313598    1.350  1.069  3.9232  4.144    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -5.35e-13      0.00 7.792e-01 2.193e-01 2.597e-04 7.112e-05 6.469e-04 -1.000 1.466e-03 2.098 1.969 1.930 1.871 1.826 1.817
0.0015467 -1.00000 9.30103 1.3602818251 2.5260012583    1.360  1.092  3.9208  4.115    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -5.64e-13      0.00 7.792e-01 2.193e-01 2.598e-04 7.113e-05 6.471e-04 -1.000 1.476e-03 2.040 1.899 1.859 1.798 1.750 1.741
0.0015467 -1.00000 9.30103 1.3747673035 2.5274773970    1.374  1.125  3.9151  4.063    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -6.14e-13      0.00 7.791e-01 2.194e-01 2.599e-04 7.115e-05 6.474e-04 -1.000 1.494e-03 1.957 1.790 1.747 1.679 1.625 1.615
0.0015467 -1.00000 9.30103 1.3876690865 2.5287623528    1.387  1.155  3.9086  4.011    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -6.68e-13      0.00 7.790e-01 2.195e-01 2.600e-04 7.118e-05 6.478e-04 -1.000 1.503e-03 1.882 1.685 1.640 1.563 1.502 1.491
0.0015467 -1.00000 9.30103 1.3988893032 2.5298577008    1.399  1.183  3.9019  3.960    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -7.27e-13      0.00 7.788e-01 2.197e-01 2.602e-04 7.122e-05 6.481e-04 -1.000 1.476e-03 1.813 1.586 1.539 1.454 1.384 1.373
0.0015467 -1.00000 9.30103 1.3999999762 2.5299650300    1.400  1.186  3.9012  3.955    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -7.33e-13      0.00 7.788e-01 2.197e-01 2.602e-04 7.123e-05 6.482e-04 -1.000 1.472e-03 1.806 1.577 1.529 1.443 1.372 1.361
0.0015467 -1.00000 9.30103 1.4012948275 2.5300899102    1.401  1.189  3.9004  3.949    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1  -7.4e-13      0.00 7.788e-01 2.197e-01 2.603e-04 7.124e-05 6.482e-04 -1.000 1.468e-03 1.798 1.565 1.517 1.430 1.358 1.347
0.0015467 -1.00000 9.30103 1.4112241268 2.5310387756    1.411  1.217  3.8959  3.906    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -7.96e-13      0.00 7.786e-01 2.199e-01 2.604e-04 7.129e-05 6.485e-04 -1.000 1.466e-03 1.728 1.476 1.427 1.334 1.255 1.244
0.0015467 -1.00000 9.30103 1.4142643213 2.5313262410    1.414  1.232  3.9004  3.910    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -8.12e-13      0.00 7.786e-01 2.200e-01 2.604e-04 7.131e-05 6.486e-04 -1.000 1.469e-03 1.691 1.458 1.410 1.323 1.252 1.241
0.0015467 -1.00000 9.30103 1.4172447920 2.5316066829    1.417  1.252  3.9096  3.928    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -8.25e-13      0.00 7.785e-01 2.200e-01 2.605e-04 7.133e-05 6.487e-04 -1.000 1.478e-03 1.641 1.448 1.403 1.330 1.271 1.260
0.0015467 -1.00000 9.30103 1.4181743860 2.5316938740    1.418  1.267  3.9190  3.951    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -8.29e-13      0.00 7.785e-01 2.200e-01 2.605e-04 7.134e-05 6.488e-04 -1.000 1.480e-03 1.604 1.453 1.412 1.352 1.304 1.294
0.0015467 -1.00000 9.30103 1.4186259508 2.5317361811    1.418  1.283  3.9286  3.973    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -8.37e-13      0.00 7.785e-01 2.201e-01 2.605e-04 7.135e-05 6.489e-04 -1.000 1.480e-03 1.564 1.459 1.421 1.374 1.336 1.326
